                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.0981,                0.56557,                 1.0363,                 0.9328,                0.93407,                0.96533,                0.66247,                 1.1291,                0.45325,                 1.0342,               0.006271,               0.006271,               0.006271
                    115,                 1.1014,                0.57054,                 1.0362,                0.93404,                0.93379,                0.96523,                0.66202,                 1.1292,                 0.4531,                 1.0341,               0.006238,               0.006238,               0.006238
                    116,                 1.0983,                0.56829,                 1.0407,                0.93317,                0.93442,                  0.965,                0.66198,                 1.1292,                0.45285,                 1.0342,               0.006205,               0.006205,               0.006205
                    117,                 1.0923,                0.56412,                 1.0384,                0.93305,                0.93405,                0.96454,                0.66176,                 1.1292,                0.45263,                 1.0341,               0.006172,               0.006172,               0.006172
                    118,                 1.0971,                0.56565,                 1.0414,                0.93357,                0.93379,                0.96466,                0.66196,                  1.129,                0.45234,                 1.0341,               0.006139,               0.006139,               0.006139
                    119,                 1.0923,                0.56513,                   1.04,                0.93396,                0.93473,                0.96507,                0.66197,                 1.1289,                0.45248,                 1.0341,               0.006106,               0.006106,               0.006106
                    120,                 1.0924,                0.56183,                 1.0353,                0.93374,                0.93425,                0.96497,                 0.6621,                 1.1288,                0.45228,                  1.034,               0.006073,               0.006073,               0.006073
                    121,                 1.0937,                0.56098,                 1.0386,                0.93475,                0.93379,                0.96449,                0.66221,                  1.129,                0.45218,                  1.034,                0.00604,                0.00604,                0.00604
                    122,                 1.0912,                0.56006,                 1.0357,                0.93481,                0.93366,                0.96452,                0.66226,                 1.1288,                0.45202,                  1.034,               0.006007,               0.006007,               0.006007
                    123,                 1.0935,                0.56555,                 1.0357,                0.93519,                0.93367,                 0.9648,                0.66243,                  1.129,                0.45224,                  1.034,               0.005974,               0.005974,               0.005974
                    124,                 1.0906,                0.56208,                 1.0355,                0.93783,                0.93088,                0.96475,                0.66231,                 1.1289,                0.45216,                  1.034,               0.005941,               0.005941,               0.005941
                    125,                 1.0887,                0.56069,                 1.0335,                0.93478,                0.93464,                0.96483,                0.66224,                 1.1289,                0.45209,                 1.0338,               0.005908,               0.005908,               0.005908
                    126,                 1.0891,                0.56347,                 1.0338,                0.93424,                0.93454,                0.96466,                0.66228,                 1.1287,                 0.4518,                 1.0336,               0.005875,               0.005875,               0.005875
                    127,                 1.0848,                0.55869,                 1.0307,                0.93594,                0.93371,                0.96476,                0.66199,                 1.1288,                0.45168,                 1.0335,               0.005842,               0.005842,               0.005842
                    128,                  1.088,                0.55857,                 1.0322,                0.93491,                0.93467,                0.96492,                0.66193,                  1.129,                0.45177,                 1.0335,               0.005809,               0.005809,               0.005809
                    129,                  1.086,                0.56084,                 1.0312,                0.93461,                 0.9345,                0.96465,                0.66173,                  1.129,                0.45165,                 1.0332,               0.005776,               0.005776,               0.005776
                    130,                 1.0849,                0.55721,                  1.031,                0.93528,                0.93467,                0.96472,                 0.6617,                 1.1286,                0.45175,                  1.033,               0.005743,               0.005743,               0.005743
                    131,                 1.0854,                0.55762,                 1.0317,                0.93499,                0.93541,                0.96472,                 0.6614,                 1.1283,                0.45148,                 1.0329,                0.00571,                0.00571,                0.00571
                    132,                 1.0796,                0.55598,                 1.0297,                0.93558,                 0.9358,                0.96484,                0.66151,                 1.1282,                0.45096,                 1.0328,               0.005677,               0.005677,               0.005677
                    133,                 1.0794,                0.55348,                 1.0258,                0.93665,                0.93523,                0.96473,                0.66171,                 1.1279,                0.45075,                 1.0326,               0.005644,               0.005644,               0.005644
                    134,                 1.0819,                0.55698,                 1.0352,                0.93727,                0.93366,                0.96467,                0.66214,                 1.1279,                0.45069,                 1.0326,               0.005611,               0.005611,               0.005611
                    135,                 1.0801,                0.55608,                 1.0277,                0.93764,                0.93353,                0.96464,                0.66242,                 1.1281,                0.45021,                 1.0325,               0.005578,               0.005578,               0.005578
                    136,                  1.078,                0.55262,                 1.0289,                 0.9388,                0.93155,                0.96466,                0.66271,                 1.1277,                0.45014,                 1.0324,               0.005545,               0.005545,               0.005545
